staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
43,0.5,2.0,45.165441799908876,,45.15032120002434,45.165441799908876,45.665122400037944,45.665122400037944,45.665122400037944,45.965416400227696,46.3490112000145,left,-2.0,1,1,0.6704063001088798,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
44,0.5,1.5,46.36484090005979,,46.349222499877214,46.36484090005979,46.86475080018863,46.86475080018863,46.86475080018863,47.16714380029589,47.33196499990299,left,-1.5,0,0,0.4644344998523593,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
45,0.5,2.0,47.34770209994167,,47.33213930018246,47.34770209994167,47.847219000104815,47.847219000104815,47.847219000104815,48.14700679993257,48.447608900256455,left,-2.0,1,1,0.5950565999373794,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
46,0.5,2.0,48.463661999907345,,48.44777880003676,48.463661999907345,48.947341800201684,48.947341800201684,48.96343640005216,49.24630440026522,49.481314999982715,left,-2.0,1,1,0.5247847000136971,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
47,0.5,2.0,49.49682389991358,,49.48150540003553,49.49682389991358,49.99622550001368,49.99622550001368,49.99622550001368,50.29671490006149,50.4638935001567,right,2.0,1,1,0.45732839964330196,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
48,0.5,1.5,50.47950130002573,,50.464144200086594,50.47950130002573,50.96322950022295,50.96322950022295,50.980240600183606,51.26306889997795,51.67967069987208,left,-1.5,0,0,0.7034249003045261,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
49,0.5,2.0,51.695843500085175,,51.67985110031441,51.695843500085175,52.182581699918956,52.182581699918956,52.198685199953616,52.496850499883294,52.74634429998696,right,2.0,1,1,0.5503490003757179,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
50,0.5,2.0,52.76189160021022,,52.74653490027413,52.76189160021022,53.24495809990913,53.24495809990913,53.261861300095916,53.546530600171536,53.79560100007802,left,-2.0,1,1,0.5463471002876759,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
51,0.5,2.0,53.81247830018401,,53.79579759994522,53.81247830018401,54.31097589991987,54.31097589991987,54.31097589991987,54.61183190019801,54.84513280028477,right,2.0,1,1,0.5271143997088075,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
52,0.5,1.5,54.861549200024456,,54.84531830018386,54.861549200024456,55.36152830021456,55.36152830021456,55.36152830021456,55.66161000030115,55.877819600049406,right,1.5,1,1,0.5035726996138692,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
